lam,kanal,snr,kural,secim,fayda,regret,bleu1
0.01,AWGN,3,SABIT-EN-IYI,DeepSC-improved,0.8881,0.0,0.8881
0.01,AWGN,3,KAHIN-DOGRULUK,DeepSC-improved,0.8881,0.0,0.8881
0.01,AWGN,3,ESIK-SEZGISI,Qwen-2B-INT4,0.7097,0.1784,0.7195
0.01,AWGN,3,BIZIM-POLITIKA-v1,DeepSC-improved,0.8881,0.0,0.8881
0.01,AWGN,3,BIZIM-POLITIKA-v2,DeepSC-improved,0.8881,0.0,0.8881
0.01,AWGN,3,KAHIN,DeepSC-improved,0.8881,0.0,0.8881
0.01,AWGN,9,SABIT-EN-IYI,DeepSC-improved,0.9138,0.069,0.9138
0.01,AWGN,9,KAHIN-DOGRULUK,Qwen-2B-INT4,0.9828,0.0,0.9926
0.01,AWGN,9,ESIK-SEZGISI,Qwen-2B-INT4,0.9828,0.0,0.9926
0.01,AWGN,9,BIZIM-POLITIKA-v1,Qwen-2B-INT4,0.9828,0.0,0.9926
0.01,AWGN,9,BIZIM-POLITIKA-v2,Qwen-2B-INT4,0.9828,0.0,0.9926
0.01,AWGN,9,KAHIN,Qwen-2B-INT4,0.9828,0.0,0.9926
0.01,AWGN,15,SABIT-EN-IYI,DeepSC-improved,0.9108,0.0799,0.9108
0.01,AWGN,15,KAHIN-DOGRULUK,Qwen-4B-INT4,0.984,0.0067,1.0
0.01,AWGN,15,ESIK-SEZGISI,Qwen-2B-INT4,0.9902,0.0005,1.0
0.01,AWGN,15,BIZIM-POLITIKA-v1,Qwen-0.8B-FP16,0.9907,0.0,1.0
0.01,AWGN,15,BIZIM-POLITIKA-v2,Qwen-0.8B-FP16,0.9907,0.0,1.0
0.01,AWGN,15,KAHIN,Qwen-0.8B-FP16,0.9907,0.0,1.0
0.01,Rayleigh,3,SABIT-EN-IYI,DeepSC,0.637,0.0649,0.637
0.01,Rayleigh,3,KAHIN-DOGRULUK,DeepSC-improved,0.7019,0.0,0.7019
0.01,Rayleigh,3,ESIK-SEZGISI,Qwen-2B-FP16,0.4848,0.2171,0.4985
0.01,Rayleigh,3,BIZIM-POLITIKA-v1,DeepSC,0.637,0.0649,0.637
0.01,Rayleigh,3,BIZIM-POLITIKA-v2,DeepSC,0.637,0.0649,0.637
0.01,Rayleigh,3,KAHIN,DeepSC-improved,0.7019,0.0,0.7019
0.01,Rayleigh,9,SABIT-EN-IYI,DeepSC,0.8282,0.1011,0.8282
0.01,Rayleigh,9,KAHIN-DOGRULUK,Qwen-4B-INT4,0.9293,0.0,0.9453
0.01,Rayleigh,9,ESIK-SEZGISI,Qwen-2B-FP16,0.9126,0.0167,0.9263
0.01,Rayleigh,9,BIZIM-POLITIKA-v1,Qwen-2B-FP16,0.9126,0.0167,0.9263
0.01,Rayleigh,9,BIZIM-POLITIKA-v2,Qwen-2B-FP16,0.9126,0.0167,0.9263
0.01,Rayleigh,9,KAHIN,Qwen-4B-INT4,0.9293,0.0,0.9453
0.01,Rayleigh,15,SABIT-EN-IYI,DeepSC,0.9003,0.0853,0.9003
0.01,Rayleigh,15,KAHIN-DOGRULUK,Qwen-2B-INT4,0.9856,0.0,0.9954
0.01,Rayleigh,15,ESIK-SEZGISI,Qwen-2B-FP16,0.9733,0.0122,0.987
0.01,Rayleigh,15,BIZIM-POLITIKA-v1,Qwen-2B-INT4,0.9856,0.0,0.9954
0.01,Rayleigh,15,BIZIM-POLITIKA-v2,Qwen-2B-INT4,0.9856,0.0,0.9954
0.01,Rayleigh,15,KAHIN,Qwen-2B-INT4,0.9856,0.0,0.9954
