lam,kanal,snr,kural,secim,fayda,regret,bleu1
0.08,AWGN,3,SABIT-EN-IYI,DeepSC-improved,0.8881,0.0,0.8881
0.08,AWGN,3,KAHIN-DOGRULUK,DeepSC-improved,0.8881,0.0,0.8881
0.08,AWGN,3,ESIK-SEZGISI,DeepSC-improved,0.8881,0.0,0.8881
0.08,AWGN,3,BIZIM-POLITIKA-v1,DeepSC-improved,0.8881,0.0,0.8881
0.08,AWGN,3,BIZIM-POLITIKA-v2,DeepSC-improved,0.8881,0.0,0.8881
0.08,AWGN,3,KAHIN,DeepSC-improved,0.8881,0.0,0.8881
0.08,AWGN,9,SABIT-EN-IYI,DeepSC-improved,0.9138,0.0167,0.9138
0.08,AWGN,9,KAHIN-DOGRULUK,Qwen-2B-INT4,0.9144,0.0161,0.9926
0.08,AWGN,9,ESIK-SEZGISI,Qwen-0.8B-FP16,0.911,0.0195,0.9855
0.08,AWGN,9,BIZIM-POLITIKA-v1,DeepSC,0.9305,0.0,0.9305
0.08,AWGN,9,BIZIM-POLITIKA-v2,DeepSC,0.9305,0.0,0.9305
0.08,AWGN,9,KAHIN,DeepSC,0.9305,0.0,0.9305
0.08,AWGN,15,SABIT-EN-IYI,DeepSC-improved,0.9108,0.0219,0.9108
0.08,AWGN,15,KAHIN-DOGRULUK,Qwen-2B-INT8,0.8679,0.0648,1.0
0.08,AWGN,15,ESIK-SEZGISI,Qwen-0.8B-FP16,0.9255,0.0072,1.0
0.08,AWGN,15,BIZIM-POLITIKA-v1,DeepSC,0.9327,0.0,0.9327
0.08,AWGN,15,BIZIM-POLITIKA-v2,DeepSC,0.9327,0.0,0.9327
0.08,AWGN,15,KAHIN,DeepSC,0.9327,0.0,0.9327
0.08,Rayleigh,3,SABIT-EN-IYI,DeepSC,0.637,0.0649,0.637
0.08,Rayleigh,3,KAHIN-DOGRULUK,DeepSC-improved,0.7019,0.0,0.7019
0.08,Rayleigh,3,ESIK-SEZGISI,DeepSC,0.637,0.0649,0.637
0.08,Rayleigh,3,BIZIM-POLITIKA-v1,DeepSC,0.637,0.0649,0.637
0.08,Rayleigh,3,BIZIM-POLITIKA-v2,DeepSC,0.637,0.0649,0.637
0.08,Rayleigh,3,KAHIN,DeepSC-improved,0.7019,0.0,0.7019
0.08,Rayleigh,9,SABIT-EN-IYI,DeepSC,0.8282,0.0321,0.8282
0.08,Rayleigh,9,KAHIN-DOGRULUK,Qwen-4B-INT4,0.8174,0.0429,0.9453
0.08,Rayleigh,9,ESIK-SEZGISI,Qwen-2B-INT4,0.8603,0.0,0.9386
0.08,Rayleigh,9,BIZIM-POLITIKA-v1,DeepSC-improved,0.8415,0.0188,0.8415
0.08,Rayleigh,9,BIZIM-POLITIKA-v2,DeepSC-improved,0.8415,0.0188,0.8415
0.08,Rayleigh,9,KAHIN,Qwen-2B-INT4,0.8603,0.0,0.9386
0.08,Rayleigh,15,SABIT-EN-IYI,DeepSC,0.9003,0.0168,0.9003
0.08,Rayleigh,15,KAHIN-DOGRULUK,Qwen-2B-INT4,0.9171,0.0,0.9954
0.08,Rayleigh,15,ESIK-SEZGISI,Qwen-2B-INT4,0.9171,0.0,0.9954
0.08,Rayleigh,15,BIZIM-POLITIKA-v1,Qwen-2B-INT4,0.9171,0.0,0.9954
0.08,Rayleigh,15,BIZIM-POLITIKA-v2,Qwen-2B-INT4,0.9171,0.0,0.9954
0.08,Rayleigh,15,KAHIN,Qwen-2B-INT4,0.9171,0.0,0.9954
